,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
284,282,Zac Langdon,FWD,52,4,0,12,6,1,0,6,6,0,2021,Round 1
285,282,Tim O'Brien,KEYF,52,10.7,2,8,6,2,0,7,1,0,2021,Round 1
286,282,Lochie O'Brien,MID,52,2.7,1,9,1,4,0,7,2,0,2021,Round 1
287,282,Kysaiah Pickett,FWD,52,8.4,1,11,3,4,0,7,4,0,2021,Round 1
288,282,Mason Redman,DEF,52,4.9,0,15,4,0,0,9,6,0,2021,Round 1
289,282,Anthony Scott,FWD,52,2.2,0,16,1,1,0,9,7,0,2021,Round 1
290,282,Josh Thomas,FWD,52,4.3,0,13,4,0,0,8,5,0,2021,Round 1
291,292,Tom Atkins,DEF,51,13.7,0,19,1,4,1,9,10,0,2021,Round 1
292,292,Josh Battle,FWD,51,9,1,11,1,3,0,8,3,0,2021,Round 1
293,292,Connor Blakely,MID,51,8.4,1,14,2,2,3,5,9,0,2021,Round 1
294,292,Reilly O'Brien,RUC,51,6.3,0,8,2,1,1,3,5,22,2021,Round 1
295,292,Marlion Pickett,MID,51,5.5,0,13,5,3,0,7,6,0,2021,Round 1
296,297,Sam Berry,FWD,50,5.3,0,8,1,7,3,6,2,0,2021,Round 1
297,297,Will Brodie,FWD,50,7.7,0,18,2,0,5,9,9,0,2021,Round 1
