,Rank,Player,Position,HO    ,CC,SC,C,HTA,HTW%,HTA%,RC,Season,Round
311,78,Cyril Rioli,FWD,0,1,1,2,0,0,0,0,2016,Round 10
312,78,Daniel Rioli,FWD,0,0,0,0,0,0,0,0,2016,Round 10
313,78,Michael Rischitelli,MID,0,1,2,3,0,0,0,0,2016,Round 10
314,78,Dylan Roberton,DEF,0,0,1,1,0,0,0,0,2016,Round 10
315,78,Nick Robertson,MID,0,0,0,0,0,0,0,0,2016,Round 10
316,78,Mitch Robinson,MID,0,3,4,7,0,0,0,0,2016,Round 10
317,78,Gary Rohan,FWD,0,0,1,1,0,0,0,0,2016,Round 10
318,78,Sam Rowe,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
319,78,Tom Ruggles,DEF,0,0,0,0,0,0,0,0,2016,Round 10
320,78,Luke Russell,FWD,0,0,0,0,0,0,0,0,2016,Round 10
321,78,Shane Savage,DEF,0,0,0,0,0,0,0,0,2016,Round 10
322,78,Josh Schache,KEYF,0,0,0,0,0,0,0,0,2016,Round 10
323,78,Henry Schade,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
324,78,Will Schofield,KEYD,0,0,0,0,0,0,0,0,2016,Round 10
325,78,Tom Scully,MID,0,0,1,1,0,0,0,0,2016,Round 10
326,78,Paul Seedsman,MID,0,0,1,1,0,0,0,0,2016,Round 10
327,78,Joel Selwood,MID,0,0,3,3,0,0,0,0,2016,Round 10
328,78,Heath Shaw,DEF,0,0,1,1,0,0,0,0,2016,Round 10
329,78,Brad Sheppard,DEF,0,0,0,0,0,0,0,0,2016,Round 10
330,78,Tommy Sheridan,DEF,0,0,0,0,0,0,0,0,2016,Round 10
331,78,Liam Shiels,MID,0,1,1,2,0,0,0,0,2016,Round 10
332,78,Luke Shuey,MID,0,4,3,7,0,0,0,0,2016,Round 10
333,78,James Sicily,FWD,0,0,0,0,0,0,0,0,2016,Round 10
334,78,Steele Sidebottom,MID,0,2,2,4,0,0,0,0,2016,Round 10
335,78,Kade Simpson,DEF,0,1,2,3,0,0,0,0,2016,Round 10
